model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,1.0,20,"(1, 3)",new,lemma,1.5,balanced,scale,sigmoid,0.6433884912865582,0.16711590296495957,0.7528140477262494,0.5030425963488844,0.6232532140860816,0.5275212539297907,0.15434083601286175,0.6341463414634146,0.4717444717444717,0.5299760191846523
svm,word,True,0.25,1,"(1, 3)",new,lemma,0.1,balanced,scale,sigmoid,0.6433790177877391,0.3766233766233766,0.7968036529680366,0.40452261306532655,0.6914477361654555,0.5587147599247767,0.34375,0.6945812807881773,0.4614003590664273,0.5965227817745803
svm,word,True,0.5,1,"(1, 3)",new,lemma,0.1,balanced,scale,sigmoid,0.6433790177877391,0.3766233766233766,0.7968036529680366,0.40452261306532655,0.6914477361654555,0.5587147599247767,0.34375,0.6945812807881773,0.4614003590664273,0.5965227817745803
svm,word,True,1.0,1,"(1, 3)",new,lemma,0.1,balanced,scale,sigmoid,0.6433790177877391,0.3766233766233766,0.7968036529680366,0.40452261306532655,0.6914477361654555,0.5587147599247767,0.34375,0.6945812807881773,0.4614003590664273,0.5965227817745803
svm,word,True,0.25,10,"(1, 1)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,0.25,10,"(1, 2)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,0.25,10,"(1, 3)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,0.5,10,"(1, 1)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,0.5,10,"(1, 2)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,0.5,10,"(1, 3)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
