model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,0.5,1,"(1, 3)",new,lemma,0.1,0.7572498817946085,0.2195121951219512,0.8361817423926636,0.6763901549680947,0.7730575740637228,0.6331130972240037,0.16326530612244897,0.7190082644628099,0.6052227342549923,0.658273381294964
nb,word,True,1.0,1,"(1, 3)",new,lemma,0.1,0.7572498817946085,0.2195121951219512,0.8361817423926636,0.6763901549680947,0.7730575740637228,0.6331130972240037,0.16326530612244897,0.7190082644628099,0.6052227342549923,0.658273381294964
nb,word,True,0.25,1,"(1, 1)",new,stem,0.5,0.7559944889076824,0.05882352941176471,0.8423219431864966,0.6790009250693801,0.7780883174958078,0.6231363281485457,0.023255813953488372,0.719262295081967,0.5993836671802774,0.6546762589928058
nb,word,True,0.5,1,"(1, 1)",new,stem,0.5,0.7559944889076824,0.05882352941176471,0.8423219431864966,0.6790009250693801,0.7780883174958078,0.6231363281485457,0.023255813953488372,0.719262295081967,0.5993836671802774,0.6546762589928058
nb,word,True,1.0,1,"(1, 1)",new,stem,0.5,0.7559944889076824,0.05882352941176471,0.8423219431864966,0.6790009250693801,0.7780883174958078,0.6231363281485457,0.023255813953488372,0.719262295081967,0.5993836671802774,0.6546762589928058
nb,word,True,0.25,1,"(1, 2)",new,stem,0.01,0.7557862425294615,0.3448275862068965,0.8222029488291415,0.6833910034602076,0.7618781442146451,0.6483286464481037,0.3464566929133858,0.7218683651804672,0.6143396226415095,0.6648681055155875
nb,word,True,0.5,1,"(1, 2)",new,stem,0.01,0.7557862425294615,0.3448275862068965,0.8222029488291415,0.6833910034602076,0.7618781442146451,0.6483286464481037,0.3464566929133858,0.7218683651804672,0.6143396226415095,0.6648681055155875
nb,word,True,1.0,1,"(1, 2)",new,stem,0.01,0.7557862425294615,0.3448275862068965,0.8222029488291415,0.6833910034602076,0.7618781442146451,0.6483286464481037,0.3464566929133858,0.7218683651804672,0.6143396226415095,0.6648681055155875
nb,word,True,0.25,1,"(1, 1)",new,lemma,0.01,0.755246281630599,0.3963963963963964,0.8254374733247973,0.6708185053380783,0.7635550586920067,0.6406115508631202,0.23622047244094493,0.7207207207207207,0.6111951588502269,0.6588729016786571
nb,word,True,0.5,1,"(1, 1)",new,lemma,0.01,0.755246281630599,0.3963963963963964,0.8254374733247973,0.6708185053380783,0.7635550586920067,0.6406115508631202,0.23622047244094493,0.7207207207207207,0.6111951588502269,0.6588729016786571
nb,word,True,1.0,1,"(1, 1)",new,lemma,0.01,0.755246281630599,0.3963963963963964,0.8254374733247973,0.6708185053380783,0.7635550586920067,0.6406115508631202,0.23622047244094493,0.7207207207207207,0.6111951588502269,0.6588729016786571
nb,word,True,0.25,1,"(1, 3)",new,stem,0.01,0.7550559172142677,0.33333333333333337,0.8229706390328152,0.681184668989547,0.7618781442146451,0.6457626817758677,0.336,0.7213983050847458,0.6107331821617537,0.6630695443645084
nb,word,True,0.5,1,"(1, 3)",new,stem,0.01,0.7550559172142677,0.33333333333333337,0.8229706390328152,0.681184668989547,0.7618781442146451,0.6457626817758677,0.336,0.7213983050847458,0.6107331821617537,0.6630695443645084
nb,word,True,1.0,1,"(1, 3)",new,stem,0.01,0.7550559172142677,0.33333333333333337,0.8229706390328152,0.681184668989547,0.7618781442146451,0.6457626817758677,0.336,0.7213983050847458,0.6107331821617537,0.6630695443645084
nb,word,True,0.25,1,"(1, 3)",new,stem,0.001,0.7549509679592242,0.36974789915966383,0.8206239168110919,0.6811468288444831,0.7607602012297373,0.6431236410024139,0.32558139534883723,0.7170212765957447,0.6103993971363979,0.6594724220623501
nb,word,True,0.5,1,"(1, 3)",new,stem,0.001,0.7549509679592242,0.36974789915966383,0.8206239168110919,0.6811468288444831,0.7607602012297373,0.6431236410024139,0.32558139534883723,0.7170212765957447,0.6103993971363979,0.6594724220623501
nb,word,True,1.0,1,"(1, 3)",new,stem,0.001,0.7549509679592242,0.36974789915966383,0.8206239168110919,0.6811468288444831,0.7607602012297373,0.6431236410024139,0.32558139534883723,0.7170212765957447,0.6103993971363979,0.6594724220623501
nb,word,True,0.25,1,"(1, 3)",new,lemma,0.01,0.7549207609655305,0.3584905660377358,0.8238831615120275,0.6765734265734266,0.7629960871995528,0.6512729210570938,0.3492063492063493,0.7238095238095238,0.6181818181818182,0.6678657074340527
nb,word,True,0.5,1,"(1, 3)",new,lemma,0.01,0.7549207609655305,0.3584905660377358,0.8238831615120275,0.6765734265734266,0.7629960871995528,0.6512729210570938,0.3492063492063493,0.7238095238095238,0.6181818181818182,0.6678657074340527
nb,word,True,1.0,1,"(1, 3)",new,lemma,0.01,0.7549207609655305,0.3584905660377358,0.8238831615120275,0.6765734265734266,0.7629960871995528,0.6512729210570938,0.3492063492063493,0.7238095238095238,0.6181818181818182,0.6678657074340527
nb,word,True,0.25,1,"(1, 1)",new,original,0.1,0.7540828561911239,0.28571428571428564,0.8288747346072187,0.6731448763250883,0.7657909446618223,0.6438104556180118,0.23423423423423426,0.7249869041382924,0.6139817629179332,0.6648681055155875
nb,word,True,0.5,1,"(1, 1)",new,original,0.1,0.7540828561911239,0.28571428571428564,0.8288747346072187,0.6731448763250883,0.7657909446618223,0.6438104556180118,0.23423423423423426,0.7249869041382924,0.6139817629179332,0.6648681055155875
nb,word,True,1.0,1,"(1, 1)",new,original,0.1,0.7540828561911239,0.28571428571428564,0.8288747346072187,0.6731448763250883,0.7657909446618223,0.6438104556180118,0.23423423423423426,0.7249869041382924,0.6139817629179332,0.6648681055155875
nb,word,True,0.25,1,"(1, 2)",new,lemma,0.001,0.7540661306481524,0.3826086956521739,0.8197573656845755,0.6787878787878787,0.7602012297372834,0.6502786675668516,0.33082706766917297,0.7230196703880915,0.6187594553706506,0.6660671462829736
nb,word,True,0.5,1,"(1, 2)",new,lemma,0.001,0.7540661306481524,0.3826086956521739,0.8197573656845755,0.6787878787878787,0.7602012297372834,0.6502786675668516,0.33082706766917297,0.7230196703880915,0.6187594553706506,0.6660671462829736
nb,word,True,1.0,1,"(1, 2)",new,lemma,0.001,0.7540661306481524,0.3826086956521739,0.8197573656845755,0.6787878787878787,0.7602012297372834,0.6502786675668516,0.33082706766917297,0.7230196703880915,0.6187594553706506,0.6660671462829736
nb,word,True,0.25,10,"(1, 2)",new,stem,0.0,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.25,10,"(1, 2)",new,stem,0.001,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.25,10,"(1, 2)",new,stem,0.01,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.25,10,"(1, 3)",new,stem,0.0,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
