model,analyzer,lowercase,max_df,min_df,ngram_range,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,True,0.25,1,"(1, 3)",original,balanced,gini,sqrt,2,2,0.8032694406851776,0.4747081712062256,0.8629491945477075,0.7355666429080542,0.7993951612903226,0.7530832375150348,0.5128205128205127,0.8359478862004787,0.6597938144329897,0.7575554063129617
rf,word,True,0.25,1,"(1, 2)",stem,balanced_subsample,gini,auto,2,10,0.8030840296189364,0.5146198830409356,0.8619732525864244,0.7276422764227642,0.7987231182795699,0.7577903917484038,0.48201438848920863,0.8356424884542244,0.680628272251309,0.7578912021490933
rf,word,True,1.0,1,"(1, 3)",stem,balanced_subsample,gini,sqrt,2,2,0.8030732408101204,0.4978902953586498,0.8677747457206647,0.7173462335867312,0.801747311827957,0.7522728066609718,0.48275862068965514,0.8333333333333334,0.6682380671773719,0.7538616521155138
rf,word,True,1.0,1,"(1, 3)",stem,balanced,entropy,auto,1,10,0.8029087805208197,0.5573770491803279,0.8696911196911198,0.6976421636615812,0.8088037634408602,0.7454469336204091,0.4129353233830846,0.82856406290281,0.671044776119403,0.7562122229684352
rf,word,True,1.0,1,"(1, 3)",stem,balanced_subsample,gini,auto,2,2,0.8028523292847113,0.5021097046413502,0.8661534641172088,0.7195037904893178,0.8014112903225806,0.7580904853082692,0.47750865051903113,0.8360877810891357,0.6816834617664495,0.7575554063129617
rf,word,True,1.0,1,"(1, 3)",stem,balanced_subsample,gini,auto,2,5,0.8027513287580665,0.49895178197064993,0.8683046683046682,0.714590747330961,0.8024193548387096,0.7620994635960816,0.5036764705882354,0.839731543624161,0.6816834617664495,0.7642713230355943
rf,word,True,0.5,1,"(1, 2)",stem,balanced,gini,auto,1,10,0.8026451840395271,0.5863013698630137,0.8698167791706847,0.689367616400278,0.8088037634408602,0.7181776307081817,0.3525535420098847,0.7904944004370391,0.669431279620853,0.7115513767629281
rf,word,True,1.0,1,"(1, 3)",stem,balanced,entropy,sqrt,2,5,0.8025603365606434,0.5010706638115632,0.8654797230464887,0.7203331020124912,0.801747311827957,0.7535122591193176,0.4848484848484848,0.834505137912385,0.6694166175604007,0.7545332437877771
rf,word,True,1.0,1,"(1, 2)",lemma,balanced,entropy,auto,2,2,0.8025407572981679,0.4731610337972167,0.8653704159488063,0.7272727272727273,0.8000672043010753,0.7443510751558483,0.5207547169811321,0.8275312250863672,0.6470234515935057,0.7498321020819342
rf,word,True,1.0,1,"(1, 2)",stem,balanced,gini,sqrt,2,5,0.802534768884807,0.4632352941176471,0.865081351689612,0.7303609341825902,0.7963709677419355,0.7417789718343599,0.46050420168067224,0.8257924681658086,0.6550898203592813,0.7414372061786434
rf,word,True,0.25,1,"(1, 3)",original,balanced_subsample,gini,auto,2,10,0.8024679747818375,0.47844827586206895,0.8646913580246913,0.7273991655076495,0.8014112903225806,0.7478264684599653,0.4842883548983364,0.8304498269896194,0.6598311218335344,0.7515110812625924
