model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,True,1.0,1,"(1, 2)",generic,stem,balanced,gini,sqrt,1,5,0.7323496438745075,0.5964912280701754,0.6944858420268255,0.7894736842105263,0.7304878048780488,0.692251317107026,0.5280898876404494,0.6216696269982238,0.7639060568603213,0.6851612903225807
rf,word,True,1.0,1,"(1, 1)",generic,stem,balanced,entropy,auto,1,2,0.7323004773921762,0.611764705882353,0.6973293768545994,0.7839195979899499,0.7304878048780488,0.6950770138477425,0.5217391304347826,0.6310160427807486,0.7657004830917875,0.6916129032258065
rf,word,True,1.0,1,"(1, 1)",generic,stem,balanced,gini,auto,1,5,0.7317872769807737,0.5978260869565217,0.6931297709923665,0.7890137328339576,0.7292682926829268,0.6995728901807687,0.5227272727272726,0.6462093862815884,0.7658536585365854,0.6954838709677419
rf,word,True,0.25,1,"(1, 1)",unique,stem,balanced_subsample,gini,auto,1,2,0.7314824631307715,0.5952380952380952,0.6966966966966968,0.7866004962779155,0.7304878048780488,0.6969588374124197,0.5058823529411764,0.639853747714808,0.7683073229291717,0.6941935483870968
rf,word,True,0.5,1,"(1, 2)",generic,stem,balanced_subsample,entropy,sqrt,2,2,0.7314602945500448,0.5769230769230769,0.6957878315132605,0.7914032869785083,0.7268292682926829,0.6949956451933057,0.5728643216080402,0.6187050359712231,0.7597484276729559,0.6851612903225807
rf,word,True,1.0,1,"(1, 1)",generic,stem,balanced,gini,auto,1,2,0.7313796009542355,0.584795321637427,0.6969696969696969,0.7886279357231148,0.7304878048780488,0.6948343669025809,0.5090909090909091,0.6330935251798561,0.767189384800965,0.6916129032258065
rf,word,True,0.25,1,"(1, 2)",generic,stem,balanced_subsample,gini,auto,1,10,0.7309880758148706,0.5635359116022098,0.701062215477997,0.7899999999999999,0.7292682926829268,0.7040142685838631,0.5561497326203209,0.63003663003663,0.7735618115055081,0.6967741935483871
rf,word,True,1.0,1,"(1, 3)",unique,stem,balanced_subsample,entropy,auto,2,10,0.7307613965717821,0.5769230769230769,0.700152207001522,0.7870967741935484,0.725609756097561,0.6977990111325849,0.6009852216748769,0.6238532110091743,0.7556109725685786,0.6890322580645162
rf,word,True,1.0,1,"(1, 1)",generic,stem,,gini,sqrt,1,5,0.7307468145586099,0.5939393939393939,0.6940639269406391,0.787286063569682,0.7304878048780488,0.6827123505851566,0.429530201342282,0.6240875912408759,0.7690504103165299,0.6851612903225807
rf,word,True,0.5,1,"(1, 1)",unique,stem,balanced_subsample,gini,sqrt,1,5,0.7306299666283441,0.5978260869565217,0.6959152798789713,0.7849056603773585,0.7280487804878049,0.696500386491473,0.5057471264367815,0.6386861313868613,0.7681159420289856,0.6929032258064516
rf,word,True,0.5,1,"(1, 1)",unique,stem,balanced,gini,auto,1,5,0.7304934117705915,0.5966850828729281,0.6928895612708018,0.7869674185463659,0.7280487804878049,0.6976876235338043,0.5227272727272726,0.6352087114337568,0.7679222357229647,0.6929032258064516
rf,word,True,1.0,1,"(1, 1)",generic,stem,,gini,sqrt,1,2,0.730379407818806,0.5903614457831325,0.6933744221879816,0.787878787878788,0.7304878048780488,0.6862886327020283,0.4675324675324676,0.6292947558770343,0.7639383155397391,0.6864516129032258
