model,analyzer,lowercase,max_df,min_df,ngram_range,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.5,1,"(1, 3)",stem,1.0,balanced,scale,sigmoid,0.8198092573838424,0.5265486725663717,0.87890625,0.7450142450142451,0.8205645161290323,0.7654173521251897,0.5265225933202358,0.8414342629482071,0.6837098692033294,0.7699798522498321
svm,word,True,1.0,1,"(1, 3)",stem,1.0,balanced,scale,sigmoid,0.8198092573838424,0.5265486725663717,0.87890625,0.7450142450142451,0.8205645161290323,0.7654173521251897,0.5265225933202358,0.8414342629482071,0.6837098692033294,0.7699798522498321
svm,word,True,0.25,1,"(1, 3)",lemma,1.5,balanced,scale,sigmoid,0.818895689587247,0.5639810426540285,0.8777154015133024,0.7355198883461269,0.821236559139785,0.7728682248793305,0.5290581162324649,0.8428380187416332,0.7026713124274099,0.7760241773002015
svm,word,True,0.5,1,"(1, 3)",lemma,1.5,balanced,scale,sigmoid,0.818895689587247,0.5639810426540285,0.8777154015133024,0.7355198883461269,0.821236559139785,0.7728682248793305,0.5290581162324649,0.8428380187416332,0.7026713124274099,0.7760241773002015
svm,word,True,1.0,1,"(1, 3)",lemma,1.5,balanced,scale,sigmoid,0.818895689587247,0.5639810426540285,0.8777154015133024,0.7355198883461269,0.821236559139785,0.7728682248793305,0.5290581162324649,0.8428380187416332,0.7026713124274099,0.7760241773002015
svm,word,True,0.25,1,"(1, 3)",stem,0.5,balanced,scale,sigmoid,0.8174548462573283,0.5330490405117272,0.8814868452811973,0.7283582089552237,0.8195564516129032,0.758482802501196,0.5325443786982248,0.8416100365917408,0.6617375231053605,0.7662860980523841
svm,word,True,0.5,1,"(1, 3)",stem,0.5,balanced,scale,sigmoid,0.8174548462573283,0.5330490405117272,0.8814868452811973,0.7283582089552237,0.8195564516129032,0.758482802501196,0.5325443786982248,0.8416100365917408,0.6617375231053605,0.7662860980523841
svm,word,True,1.0,1,"(1, 3)",stem,0.5,balanced,scale,sigmoid,0.8174548462573283,0.5330490405117272,0.8814868452811973,0.7283582089552237,0.8195564516129032,0.758482802501196,0.5325443786982248,0.8416100365917408,0.6617375231053605,0.7662860980523841
svm,word,True,0.25,1,"(1, 3)",stem,1.5,balanced,scale,sigmoid,0.8158246629007311,0.5426008968609864,0.8744780152296733,0.7372822299651568,0.8165322580645161,0.7619649368867846,0.5108910891089109,0.8363246718457007,0.6856810244470315,0.7652787105439892
svm,word,True,0.5,1,"(1, 3)",stem,1.5,balanced,scale,sigmoid,0.8158246629007311,0.5426008968609864,0.8744780152296733,0.7372822299651568,0.8165322580645161,0.7619649368867846,0.5108910891089109,0.8363246718457007,0.6856810244470315,0.7652787105439892
svm,word,True,1.0,1,"(1, 3)",stem,1.5,balanced,scale,sigmoid,0.8158246629007311,0.5426008968609864,0.8744780152296733,0.7372822299651568,0.8165322580645161,0.7619649368867846,0.5108910891089109,0.8363246718457007,0.6856810244470315,0.7652787105439892
svm,word,True,0.25,1,"(1, 2)",stem,0.5,balanced,scale,sigmoid,0.8137284811304817,0.512,0.8776309348996575,0.7291361639824305,0.8128360215053764,0.7603519725376211,0.5330812854442344,0.8425779186476493,0.6654478976234004,0.7662860980523841
svm,word,True,0.5,1,"(1, 2)",stem,0.5,balanced,scale,sigmoid,0.8137284811304817,0.512,0.8776309348996575,0.7291361639824305,0.8128360215053764,0.7603519725376211,0.5330812854442344,0.8425779186476493,0.6654478976234004,0.7662860980523841
svm,word,True,1.0,1,"(1, 2)",stem,0.5,balanced,scale,sigmoid,0.8137284811304817,0.512,0.8776309348996575,0.7291361639824305,0.8128360215053764,0.7603519725376211,0.5330812854442344,0.8425779186476493,0.6654478976234004,0.7662860980523841
svm,word,True,0.25,1,"(1, 2)",original,1.0,balanced,scale,sigmoid,0.8109361490873471,0.508130081300813,0.8725296442687747,0.7322946175637394,0.8091397849462365,0.7615481136813489,0.5,0.8335566872152237,0.6915334517465956,0.7632639355271995
svm,word,True,0.5,1,"(1, 2)",original,1.0,balanced,scale,sigmoid,0.8109361490873471,0.508130081300813,0.8725296442687747,0.7322946175637394,0.8091397849462365,0.7615481136813489,0.5,0.8335566872152237,0.6915334517465956,0.7632639355271995
svm,word,True,1.0,1,"(1, 2)",original,1.0,balanced,scale,sigmoid,0.8109361490873471,0.508130081300813,0.8725296442687747,0.7322946175637394,0.8091397849462365,0.7615481136813489,0.5,0.8335566872152237,0.6915334517465956,0.7632639355271995
svm,word,True,0.25,1,"(1, 2)",stem,1.0,balanced,scale,sigmoid,0.8101798368044193,0.5029702970297031,0.8687828042989252,0.7399723374827109,0.8064516129032258,0.761606791430722,0.5197132616487455,0.8374224858452414,0.6808762581409118,0.7632639355271995
svm,word,True,0.5,1,"(1, 2)",stem,1.0,balanced,scale,sigmoid,0.8101798368044193,0.5029702970297031,0.8687828042989252,0.7399723374827109,0.8064516129032258,0.761606791430722,0.5197132616487455,0.8374224858452414,0.6808762581409118,0.7632639355271995
svm,word,True,1.0,1,"(1, 2)",stem,1.0,balanced,scale,sigmoid,0.8101798368044193,0.5029702970297031,0.8687828042989252,0.7399723374827109,0.8064516129032258,0.761606791430722,0.5197132616487455,0.8374224858452414,0.6808762581409118,0.7632639355271995
svm,word,True,0.25,1,"(1, 2)",lemma,0.5,balanced,scale,sigmoid,0.8089657806106626,0.51417004048583,0.8744231236337138,0.7188665175242357,0.8094758064516129,0.7531382027698992,0.5341130604288499,0.8349869451697128,0.657160570365778,0.7609133646742781
svm,word,True,0.5,1,"(1, 2)",lemma,0.5,balanced,scale,sigmoid,0.8089657806106626,0.51417004048583,0.8744231236337138,0.7188665175242357,0.8094758064516129,0.7531382027698992,0.5341130604288499,0.8349869451697128,0.657160570365778,0.7609133646742781
svm,word,True,1.0,1,"(1, 2)",lemma,0.5,balanced,scale,sigmoid,0.8089657806106626,0.51417004048583,0.8744231236337138,0.7188665175242357,0.8094758064516129,0.7531382027698992,0.5341130604288499,0.8349869451697128,0.657160570365778,0.7609133646742781
svm,word,True,0.25,1,"(1, 3)",original,0.5,balanced,scale,sigmoid,0.8084761565002371,0.5150214592274679,0.8753290260827951,0.7146136189747513,0.8118279569892473,0.7479672586311095,0.5301204819277109,0.8370293965961837,0.639240506329114,0.7588985896574882
svm,word,True,0.5,1,"(1, 3)",original,0.5,balanced,scale,sigmoid,0.8084761565002371,0.5150214592274679,0.8753290260827951,0.7146136189747513,0.8118279569892473,0.7479672586311095,0.5301204819277109,0.8370293965961837,0.639240506329114,0.7588985896574882
