model,analyzer,lowercase,max_df,min_df,ngram_range,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,1.0,1,"(1, 3)",lemma,0.001,0.6984615973477759,0.43934426229508194,0.8276943759802823,0.4425675675675676,0.7311827956989247,0.6768451892715337,0.4391691394658753,0.8004854368932038,0.5123415610406938,0.7075218267293486
nb,word,True,0.25,1,"(1, 2)",lemma,0.001,0.6983666028429996,0.43790849673202614,0.827384960718294,0.4433249370277078,0.730510752688172,0.6768032575435189,0.4391691394658753,0.800969696969697,0.5113788487282463,0.7078576225654802
nb,word,True,0.5,1,"(1, 2)",lemma,0.001,0.6983666028429996,0.43790849673202614,0.827384960718294,0.4433249370277078,0.730510752688172,0.6768032575435189,0.4391691394658753,0.800969696969697,0.5113788487282463,0.7078576225654802
nb,word,True,1.0,1,"(1, 2)",lemma,0.001,0.6983666028429996,0.43790849673202614,0.827384960718294,0.4433249370277078,0.730510752688172,0.6768032575435189,0.4391691394658753,0.800969696969697,0.5113788487282463,0.7078576225654802
nb,word,True,0.25,1,"(1, 3)",lemma,0.01,0.6982655456461864,0.43278688524590164,0.8275862068965516,0.4436917866215072,0.7311827956989247,0.6813744144887907,0.46920821114369504,0.8022351797862002,0.5163442294863243,0.7112155809267965
nb,word,True,0.5,1,"(1, 3)",lemma,0.01,0.6982655456461864,0.43278688524590164,0.8275862068965516,0.4436917866215072,0.7311827956989247,0.6813744144887907,0.46920821114369504,0.8022351797862002,0.5163442294863243,0.7112155809267965
nb,word,True,1.0,1,"(1, 3)",lemma,0.01,0.6982655456461864,0.43278688524590164,0.8275862068965516,0.4436917866215072,0.7311827956989247,0.6813744144887907,0.46920821114369504,0.8022351797862002,0.5163442294863243,0.7112155809267965
nb,word,True,0.25,1,"(1, 2)",original,0.01,0.6981570482160439,0.42207792207792205,0.827338129496403,0.4464882943143812,0.7298387096774194,0.677730720862685,0.45714285714285713,0.8003894839337878,0.5113484646194927,0.7075218267293486
nb,word,True,0.5,1,"(1, 2)",original,0.01,0.6981570482160439,0.42207792207792205,0.827338129496403,0.4464882943143812,0.7298387096774194,0.677730720862685,0.45714285714285713,0.8003894839337878,0.5113484646194927,0.7075218267293486
nb,word,True,1.0,1,"(1, 2)",original,0.01,0.6981570482160439,0.42207792207792205,0.827338129496403,0.4464882943143812,0.7298387096774194,0.677730720862685,0.45714285714285713,0.8003894839337878,0.5113484646194927,0.7075218267293486
nb,word,True,0.25,1,"(1, 2)",lemma,0.0,0.6976859857366706,0.4304635761589404,0.827091276070868,0.4433249370277078,0.7301747311827957,0.674989905141387,0.42168674698795183,0.7998063422900025,0.5117213663764234,0.7065144392209537
nb,word,True,0.5,1,"(1, 2)",lemma,0.0,0.6976859857366706,0.4304635761589404,0.827091276070868,0.4433249370277078,0.7301747311827957,0.674989905141387,0.42168674698795183,0.7998063422900025,0.5117213663764234,0.7065144392209537
nb,word,True,1.0,1,"(1, 2)",lemma,0.0,0.6976859857366706,0.4304635761589404,0.827091276070868,0.4433249370277078,0.7301747311827957,0.674989905141387,0.42168674698795183,0.7998063422900025,0.5117213663764234,0.7065144392209537
nb,word,True,0.25,1,"(1, 3)",lemma,0.0,0.6967593654913433,0.4304635761589404,0.8266905508284818,0.44087837837837834,0.7298387096774194,0.6741240199247678,0.4169184290030212,0.799127695662709,0.5113484646194927,0.7055070517125588
nb,word,True,0.5,1,"(1, 3)",lemma,0.0,0.6967593654913433,0.4304635761589404,0.8266905508284818,0.44087837837837834,0.7298387096774194,0.6741240199247678,0.4169184290030212,0.799127695662709,0.5113484646194927,0.7055070517125588
nb,word,True,1.0,1,"(1, 3)",lemma,0.0,0.6967593654913433,0.4304635761589404,0.8266905508284818,0.44087837837837834,0.7298387096774194,0.6741240199247678,0.4169184290030212,0.799127695662709,0.5113484646194927,0.7055070517125588
